cole_cod_dane_establecimiento,cole_nombre_establecimiento,cole_naturaleza,cole_mcpio_ubicacion,anio,n_estudiantes,prom_global,prom_matematicas,prom_lectura_critica,prom_c_naturales,prom_sociales,prom_ingles,percentil_prom_global
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,OFICIAL,CARTAGENA DE INDIAS,2025,226,231.3,44.9,50.4,46.8,42.8,47.2,35.3
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2021,63,199.1,38.9,43.5,39.6,37.6,39.0,21.1
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2022,63,203.4,39.6,44.6,40.0,38.7,40.4,23.5
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2023,84,213.1,42.4,45.7,42.6,40.2,41.5,25.8
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2024,73,216.6,42.0,49.0,42.3,40.2,42.5,26.6
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2025,71,212.7,42.1,47.1,42.3,38.3,43.6,24.5
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2021,111,228.7,46.3,49.8,44.3,42.2,46.9,39.9
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2022,159,234.8,46.3,50.6,46.1,44.4,48.4,41.3
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2023,122,248.5,51.0,52.9,47.9,47.0,49.8,46.4
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2024,98,245.7,48.7,53.1,47.8,46.6,50.2,43.7
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2025,135,255.2,50.6,54.5,50.3,48.3,52.6,48.3
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2021,102,242.1,48.8,52.6,46.6,45.2,50.2,48.0
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2022,115,259.4,51.6,54.5,51.2,49.9,52.8,55.9
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2023,95,263.7,53.9,55.7,50.5,50.0,55.5,55.8
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2024,113,255.9,51.6,54.8,49.9,47.3,54.4,49.7
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2025,106,270.8,54.1,57.3,53.5,50.3,58.4,56.6
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,OFICIAL,CARTAGENA DE INDIAS,2021,68,195.6,39.0,43.0,38.9,35.4,39.3,19.9
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,OFICIAL,CARTAGENA DE INDIAS,2022,87,208.4,41.7,45.4,41.5,38.0,41.9,26.2
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,OFICIAL,CARTAGENA DE INDIAS,2023,60,212.0,43.1,44.9,42.6,38.9,42.8,24.9
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,OFICIAL,CARTAGENA DE INDIAS,2024,75,202.5,39.2,43.9,40.2,38.4,41.6,20.5
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,OFICIAL,CARTAGENA DE INDIAS,2025,68,225.3,46.7,48.6,44.7,39.6,47.1,32.2
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,OFICIAL,CARTAGENA DE INDIAS,2021,219,214.0,42.5,46.6,42.3,39.7,42.8,31.5
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,OFICIAL,CARTAGENA DE INDIAS,2022,159,219.9,44.3,47.1,43.6,41.2,43.4,33.2
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,OFICIAL,CARTAGENA DE INDIAS,2023,143,234.8,46.1,50.4,46.8,44.4,47.3,38.8
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,OFICIAL,CARTAGENA DE INDIAS,2024,238,225.9,44.6,49.3,44.6,41.7,46.5,32.9
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,OFICIAL,CARTAGENA DE INDIAS,2025,199,234.8,47.9,49.9,47.1,42.3,48.6,37.4
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,OFICIAL,CARTAGENA DE INDIAS,2021,213,219.9,44.2,48.0,43.1,40.9,43.4,34.4
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,OFICIAL,CARTAGENA DE INDIAS,2022,268,220.6,43.9,48.4,43.8,40.5,44.0,33.4
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,OFICIAL,CARTAGENA DE INDIAS,2023,212,237.5,47.3,51.5,46.1,45.0,48.2,39.9
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,OFICIAL,CARTAGENA DE INDIAS,2024,169,247.5,50.4,52.4,49.3,46.2,48.8,44.3
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,OFICIAL,CARTAGENA DE INDIAS,2025,183,249.7,51.0,53.2,49.1,46.2,50.8,45.6
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,OFICIAL,CARTAGENA DE INDIAS,2021,149,217.0,43.1,47.3,42.5,40.6,43.7,32.4
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,OFICIAL,CARTAGENA DE INDIAS,2022,133,224.5,43.9,48.8,43.9,43.2,44.3,35.7
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,OFICIAL,CARTAGENA DE INDIAS,2023,149,230.8,47.0,49.0,45.0,43.2,47.2,36.3
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,OFICIAL,CARTAGENA DE INDIAS,2024,203,228.4,46.3,49.7,44.4,42.1,46.4,34.1
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,OFICIAL,CARTAGENA DE INDIAS,2025,130,238.4,48.2,51.8,46.8,43.0,50.3,38.7
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,OFICIAL,CARTAGENA DE INDIAS,2021,203,216.2,42.1,47.9,42.8,40.9,41.3,33.2
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,OFICIAL,CARTAGENA DE INDIAS,2022,160,229.1,45.4,49.7,45.4,43.1,44.6,38.1
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,OFICIAL,CARTAGENA DE INDIAS,2023,136,236.4,48.2,50.7,46.2,44.6,45.3,39.6
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,OFICIAL,CARTAGENA DE INDIAS,2024,197,244.3,49.5,52.4,47.9,46.3,47.2,43.2
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,OFICIAL,CARTAGENA DE INDIAS,2025,192,241.4,49.7,50.8,47.9,44.9,47.7,40.9
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,OFICIAL,CARTAGENA DE INDIAS,2021,62,202.1,40.0,43.4,40.6,37.6,40.4,23.3
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,OFICIAL,CARTAGENA DE INDIAS,2022,64,222.5,44.8,47.0,44.1,42.2,44.4,35.0
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,OFICIAL,CARTAGENA DE INDIAS,2023,82,213.3,43.0,45.4,42.6,39.9,41.9,25.9
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,OFICIAL,CARTAGENA DE INDIAS,2024,60,222.1,45.3,48.4,43.2,41.0,44.1,29.9
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,OFICIAL,CARTAGENA DE INDIAS,2025,81,222.8,44.5,47.8,44.1,41.7,44.8,29.9
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,OFICIAL,CARTAGENA DE INDIAS,2021,215,234.4,47.0,50.4,45.7,45.1,45.1,43.3
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,OFICIAL,CARTAGENA DE INDIAS,2022,203,238.3,47.9,51.7,46.1,45.0,47.5,43.7
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,OFICIAL,CARTAGENA DE INDIAS,2023,195,242.8,48.5,51.7,47.7,45.9,49.9,43.4
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,OFICIAL,CARTAGENA DE INDIAS,2024,177,255.4,50.3,54.7,50.5,48.6,51.9,49.6
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,OFICIAL,CARTAGENA DE INDIAS,2025,190,249.1,49.6,54.0,48.4,46.6,51.6,45.1
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,OFICIAL,CARTAGENA DE INDIAS,2021,173,196.5,38.8,43.4,39.0,35.9,39.9,21.0
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,OFICIAL,CARTAGENA DE INDIAS,2022,118,208.3,40.6,45.0,41.5,39.2,42.6,26.5
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,OFICIAL,CARTAGENA DE INDIAS,2023,149,213.7,41.2,46.6,43.3,39.6,43.5,26.7
